20230828	10:54:00	992f1aab-cd9a-4647-88ae-81b859d49404	GET	undefined	/refresh
20230828	10:54:21	c85d6d09-859b-4a89-a7cd-c70d6b583a45	POST	undefined	/auth
20230828	10:54:22	27973e29-b9c6-4c5b-b254-c10f817c9bd6	GET	undefined	/refresh
20230828	10:54:25	d53a667c-751f-4cb6-841e-ebbc0cde899c	GET	undefined	/logout
20230828	10:54:27	d22bbbb5-01f2-45f3-b9fd-0a6c37aab246	GET	undefined	/refresh
20230904	12:07:34	888ad74d-059b-443d-9fea-63742ea958ce	GET	undefined	/employees
20230904	12:08:16	9519782e-4482-450c-a004-247a75fcb224	POST	undefined	/auth
20230904	12:08:27	8de2dcac-992b-4c31-977f-dcf20518841d	GET	undefined	/employees
20230904	12:09:03	b9eb5afe-7391-4cb4-ada5-795393bf77b6	GET	undefined	/employees
20230904	12:09:04	8977baa2-7673-44fe-98eb-6428371ba45e	GET	undefined	/employees
20230904	12:09:05	b278ad58-fd1f-4fd0-a5b5-954742e1601f	GET	undefined	/employees
20230904	12:09:05	94e65768-084d-4791-91c5-f47b3bf9620d	GET	undefined	/employees
20230904	12:09:06	68c06450-5800-4949-9f5e-a615f89f7a36	GET	undefined	/employees
20230904	12:09:08	691b8bb0-372b-4895-8da9-0b5dedd68ee0	POST	undefined	/auth
20230904	12:09:13	f7a40685-56e0-4a7d-a2df-5517c0154215	GET	undefined	/employees
20230904	12:09:43	76f0a200-be88-4937-89e1-2be86191e085	POST	undefined	/auth
20230904	12:09:48	4c3f6f00-d392-463f-978e-3f05db85972d	GET	undefined	/employees
20230904	12:10:17	f6da82db-e054-4330-ab6d-0c7196053bc5	POST	undefined	/auth
20230904	12:10:22	f4fc8d1e-8272-459b-bd6b-1fc088d2fc09	GET	undefined	/employees
20230904	12:11:03	6139d494-ad46-44b6-b01d-14e1fb6b4aa2	POST	undefined	/auth
20230904	12:11:42	45f67a10-3bd6-450a-9b3b-6cf85b991e69	POST	undefined	/employees
20230904	12:11:47	e1485e5d-bba4-4172-9026-33dbce1e8138	POST	undefined	/auth
20230904	12:11:52	8e951a1e-57af-448d-92d2-7e8f56b2a942	POST	undefined	/employees
20230904	12:11:56	142a1d36-32b4-4b63-9b07-e525fd5bd617	POST	undefined	/employees
20230904	12:11:56	ba3ea0c3-84c6-4780-bfa0-b1dc22af94c8	POST	undefined	/employees
20230904	12:12:01	b4563af2-abfb-4053-84a0-07aff2435cd0	GET	undefined	/employees/1
20230904	12:12:03	ce56ea4a-7c8b-4fc6-bd7e-a631b6d25487	GET	undefined	/employees/1
20230904	12:12:40	9aadd701-ecba-4498-9073-3c365f7ad6a9	POST	undefined	/auth
20230904	12:12:46	b3b9bd34-99e0-42c7-99ca-5e30198f04a1	POST	undefined	/employees
20230904	12:13:01	b58d4971-cfc5-4d54-9d04-e778359fac45	PUT	undefined	/employees
20230904	12:13:06	e700b5a8-ae98-4c45-82d2-5c165cdd49a5	GET	undefined	/employees/1
20230904	12:15:02	f56edb38-0733-40f6-9ef5-6d24e6e4656b	POST	undefined	/employees
